Year,Trial,YearTrial,Treatment,ID,Mass,Stage
2023,1,20231,Bottom,52,0.9956,Pupa
2024,2,20242,Bottom,41,0.9963,Pupa
2023,1,20231,Bottom,36,0.9971,Pupa
2024,2,20242,Bottom,24,0.9972,Pupa
2024,2,20242,Bottom,44,0.9981,Pupa
2024,1,20241,Bottom,52,0.9996,Pupa
2023,1,20231,Bottom,24,1.0011,Pupa
2023,1,20231,Bottom,5,1.0068,Pupa
2023,1,20231,Bottom,50,1.0135,Pupa
2024,2,20242,Bottom,48,1.016,Pupa
2024,1,20241,Bottom,30,1.0166,Pupa
2024,2,20242,Bottom,60,1.0214,Pupa
2024,2,20242,Bottom,56,1.024,Pupa
2024,1,20241,Bottom,58,1.0266,Pupa
2023,2,20232,Bottom,56,1.0267,Pupa
2024,2,20242,Bottom,17,1.0279,Pupa
2024,2,20242,Bottom,54,1.0292,Pupa
2024,2,20242,Bottom,23,1.0326,Pupa
2023,2,20232,Bottom,14,1.0351,Pupa
2023,1,20231,Bottom,60,1.0358,Pupa
2023,2,20232,Bottom,40,1.039,Pupa
2024,1,20241,Bottom,29,1.0402,Pupa
2024,2,20242,Bottom,51,1.043,Pupa
2024,2,20242,Bottom,7,1.0452,Pupa
2024,1,20241,Bottom,55,1.0454,Pupa
2024,2,20242,Bottom,42,1.0461,Pupa
2024,2,20242,Bottom,40,1.0534,Pupa
2023,1,20231,Bottom,56,1.0565,Pupa
2023,1,20231,Bottom,3,1.0573,Pupa
2023,1,20231,Bottom,58,1.0606,Pupa
2024,2,20242,Bottom,15,1.061,Pupa
2023,1,20231,Bottom,26,1.0613,Pupa
2023,1,20231,Bottom,6,1.0682,Pupa
2024,1,20241,Bottom,40,1.0689,Pupa
2023,1,20231,Bottom,23,1.071,Pupa
2023,2,20232,Bottom,37,1.0727,Pupa
2024,1,20241,Bottom,51,1.0741,Pupa
2024,2,20242,Bottom,58,1.075,Pupa
2024,2,20242,Bottom,28,1.079,Pupa
2024,1,20241,Bottom,2,1.091,Pupa
2024,2,20242,Bottom,30,1.0966,Pupa
2023,1,20231,Bottom,28,1.0981,Pupa
2023,1,20231,Bottom,25,1.0994,Pupa
2024,2,20242,Bottom,34,1.0995,Pupa
2024,2,20242,Bottom,36,1.1025,Pupa
2024,2,20242,Bottom,11,1.1132,Pupa
2024,2,20242,Bottom,27,1.1145,Pupa
2024,2,20242,Bottom,3,1.1162,Pupa
2024,2,20242,Bottom,37,1.1175,Pupa
2024,1,20241,Bottom,48,1.1192,Pupa
2023,1,20231,Bottom,42,1.1206,Pupa
2024,1,20241,Bottom,32,1.1231,Pupa
2023,2,20232,Bottom,13,1.124,Pupa
2024,1,20241,Bottom,6,1.1343,Pupa
2024,1,20241,Bottom,14,1.1364,Pupa
