Year,Trial,YearTrial,Treatment,ID,SixDayMass
2024,2,20242,Bottom,36,0.1328
2024,2,20242,Bottom,39,0.1332
2024,1,20241,Bottom,29,0.1392
2024,1,20241,Bottom,52,0.1392
2024,2,20242,Bottom,3,0.1426
2024,2,20242,Bottom,21,0.1438
2024,2,20242,Bottom,55,0.1498
2024,2,20242,Bottom,18,0.1527
2024,2,20242,Bottom,58,0.1587
2024,2,20242,Bottom,2,0.1692
2024,2,20242,Bottom,33,0.1707
2024,1,20241,Bottom,42,0.1713
2024,1,20241,Bottom,50,0.1754
2024,2,20242,Bottom,30,0.1778
2024,1,20241,Bottom,32,0.1806
2024,1,20241,Bottom,39,0.1843
2024,1,20241,Bottom,41,0.187
2024,1,20241,Bottom,51,0.1915
2024,2,20242,Bottom,38,0.1989
2024,2,20242,Bottom,22,0.1999
2024,2,20242,Bottom,28,0.2001
2024,2,20242,Bottom,43,0.2007
2024,2,20242,Bottom,16,0.2039
2024,2,20242,Bottom,4,0.2063
2024,1,20241,Bottom,14,0.2071
2024,1,20241,Bottom,9,0.2072
2024,2,20242,Bottom,23,0.2139
2024,2,20242,Bottom,6,0.217
2024,2,20242,Bottom,34,0.2214
2024,1,20241,Bottom,36,0.2223
2024,1,20241,Bottom,49,0.2234
2024,1,20241,Bottom,55,0.2396
2024,2,20242,Bottom,37,0.2621
2024,1,20241,Bottom,37,0.2745
2024,2,20242,Bottom,40,0.2961
